1,0000	0,0000
0,9500	0,0054
0,9000	0,0106
0,8500	0,0158
0,8000	0,0210
0,7500	0,0262
0,7000	0,0312
0,6500	0,0360
0,6000	0,0402
0,5500	0,0439
0,5000	0,0468
0,4500	0,0489
0,4000	0,0500
0,3500	0,0497
0,3000	0,0484
0,2500	0,0461
0,2000	0,0427
0,1800	0,0411
0,1600	0,0392
0,1400	0,0371
0,1200	0,0347
0,1000	0,0320
0,0900	0,0305
0,0800	0,0289
0,0700	0,0272
0,0600	0,0253
0,0500	0,0233
0,0400	0,0210
0,0300	0,0184
0,0200	0,0153
0,0100	0,0112
0,0095	0,0109
0,0090	0,0106
0,0085	0,0104
0,0080	0,0101
0,0075	0,0098
0,0070	0,0095
0,0065	0,0092
0,0060	0,0089
0,0055	0,0085
0,0050	0,0081
0,0045	0,0078
0,0040	0,0073
0,0035	0,0069
0,0030	0,0064
0,0025	0,0059
0,0023	0,0056
0,0020	0,0053
0,0018	0,0050
0,0015	0,0046
0,0013	0,0042
0,0010	0,0038
0,0008	0,0033
0,0005	0,0027
0,0003	0,0019
0,0000	0,0000
0,0003	-0,0019
0,0005	-0,0027
0,0008	-0,0033
0,0010	-0,0038
0,0013	-0,0042
0,0015	-0,0046
0,0018	-0,0050
0,0020	-0,0053
0,0023	-0,0056
0,0025	-0,0059
0,0030	-0,0064
0,0035	-0,0069
0,0040	-0,0073
0,0045	-0,0078
0,0050	-0,0081
0,0055	-0,0085
0,0060	-0,0089
0,0065	-0,0092
0,0070	-0,0095
0,0075	-0,0098
0,0080	-0,0101
0,0085	-0,0104
0,0090	-0,0106
0,0095	-0,0109
0,0100	-0,0112
0,0200	-0,0153
0,0300	-0,0184
0,0400	-0,0210
0,0500	-0,0233
0,0600	-0,0253
0,0700	-0,0272
0,0800	-0,0289
0,0900	-0,0305
0,1000	-0,0320
0,1200	-0,0347
0,1400	-0,0371
0,1600	-0,0392
0,1800	-0,0411
0,2000	-0,0427
0,2500	-0,0461
0,3000	-0,0484
0,3500	-0,0497
0,4000	-0,0500
0,4500	-0,0489
0,5000	-0,0468
0,5500	-0,0439
0,6000	-0,0402
0,6500	-0,0360
0,7000	-0,0312
0,7500	-0,0262
0,8000	-0,0210
0,8500	-0,0158
0,9000	-0,0106
0,9500	-0,0054
1,0000	0,0000
